hanzi,pinyin,english,lists
手錶,shǒu biǎo,wristwatch,hsk2
打,dǎ,to hit; to strike; to fight,hsk2
打掃,dǎ sǎo,to clean; to sweep,hsk3
打算,dǎ suàn,to plan; to intend; to calculate,hsk3
打車,dǎ chē,to take a taxi (in town); to hitch a lift,hsk2
打開,dǎ kāi,to open; to show (a ticket); to turn on,hsk2
打電話,dǎ diàn huà,to make a telephone call,hsk1;tocfl1
找,zhǎo,to try to find; to look for; to call on sb,hsk1;tocfl1
把,bǎ,handle,hsk3
拍照,pāi zhào,to take a picture,hsk3
拿,ná,old variant of 拿; variant of 拿; to hold,hsk2;tocfl2
挺,tǐng,straight; erect; to stick out (a part of the body),hsk3
掃,sǎo,to sweep (with a brush or broom); to sweep away; to wipe out,hsk3
接,jiē,to receive; to answer (the phone); to meet or welcome sb,hsk3;tocfl3
提高,tí gāo,to raise; to increase; to improve,hsk3
換,huàn,to exchange; to change (clothes etc); to substitute,hsk3;tocfl2
搬,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift,hsk3
搬家,bān jiā,to move house; to relocate; to remove (sth),hsk3
擔心,dān xīn,anxious; worried; uneasy,hsk3
收,shōu,to receive; to accept; to collect,hsk3
收到,shōu dào,to receive,hsk3
放,fàng,to put; to place; to release,hsk3;tocfl2
放假,fàng jià,to have a holiday or vacation,hsk3
放學,fàng xué,to dismiss students at the end of the school day,hsk3
放心,fàng xīn,to feel relieved; to feel reassured; to be at ease,hsk3
故事,gù shi,old practice,hsk3
教,jiāo,to teach; to instruct,hsk2
教室,jiào shì,classroom,hsk2;tocfl3
數學,shù xué,mathematics,hsk3;tocfl2
文化,wén huà,culture; civilization; cultural,hsk3
斤,jīn,catty; (PRC) weight equal to 500 g; (Tw) weight equal to 600 g,hsk3
新,xīn,new; newly; meso- (chemistry),hsk1;tocfl2
新年,xīn nián,New Year,hsk3;tocfl3
新聞,xīn wén,news,hsk3
新鮮,xīn xiān,"fresh (experience, food etc); freshness; novel",hsk3
方便,fāng biàn,convenient; suitable; to facilitate,hsk3;tocfl2
方便麵,fāng biàn miàn,instant noodles,hsk3
方向,fāng xiàng,direction; orientation,hsk3
方法,fāng fǎ,method; way; technique,hsk3
旁邊,páng biān,side; adjacent place,hsk2;tocfl2
旅行,lǚ xíng,to travel; journey; trip,tocfl3
旅遊,lǚ yóu,trip; journey; tourism,hsk2
旅館,lǚ guǎn,hotel,tocfl3
日,rì,"sun; day; date, day of the month",hsk1
日本,rì běn,Japan; Japanese,tocfl1
早,zǎo,early,hsk1
早上,zǎo shang,early morning,hsk1;tocfl1
早飯,zǎo fàn,breakfast,hsk1
明天,míng tiān,tomorrow,hsk1;tocfl1
明年,míng nián,next year,hsk1;tocfl2
明白,míng bai,clear; obvious; unequivocal,hsk3
星期,xīng qí,week; day of the week; Sunday,hsk1;tocfl2
星期天,xīng qí tiān,Sunday,hsk1;tocfl2
星期日,xīng qī rì,Sunday,hsk1
春天,chūn tiān,spring (season),hsk3;tocfl3
昨天,zuó tiān,yesterday,hsk1;tocfl1
是,shì,to be,tocfl1
昰,shì,to be (followed by substantives only); correct; right,hsk1
時,shí,old variant of 時|时; o'clock; time,hsk2
時候,shí hòu,time; length of time; moment,hsk1;tocfl1
時間,shí jiān,(concept of) time; (duration of) time; (point in) time,hsk1
晚,wǎn,evening; night; late,hsk1
晚上,wǎn shang,evening; night; in the evening,hsk1;tocfl1
晚會,wǎn huì,evening party,hsk3;tocfl3
晚飯,wǎn fàn,evening meal; dinner; supper,hsk1
晚點,wǎn diǎn,(of trains etc) late; delayed; behind schedule,hsk3
晴,qíng,clear; fine (weather),hsk2
曏,xiàng,towards; to face; to turn towards,hsk3
更,gèng,more; even more; further,hsk3
書,shū,book,hsk1;tocfl1
書包,shū bāo,schoolbag; satchel; bookbag,hsk2
書店,shū diàn,bookstore,hsk1
最,zuì,variant of 最; old variant of 最; (the) most,hsk2
最好,zuì hǎo,best; had better; it would be best to,hsk3
最後,zuì hòu,final; last; ultimate,hsk3
最近,zuì jìn,recently; soon; nearest,hsk3
會,huì,"can, will",hsk1;hsk3;tocfl2
會議,huì yì,meeting; conference,hsk3
月,yuè,"moon, month",hsk1;tocfl2
月亮,yuè liang,the moon,hsk3
有,yǒu,to have,hsk1;tocfl1
有些,yǒu xiē,some; somewhat,hsk1;hsk3
有名,yǒu míng,famous; well-known,hsk3
